date,event,time,place,remarks,url
2025-04-09,昭和小学校入学式,8:00~,昭和小学校,
2025-04-10,昭和中学校入学式,13:00~,昭和中学校,
2025-04-15,狂犬病予防接種立会,9:55~,神納公民館,
2025-05-23,昭和中学校体育祭,8:40~,昭和中学校,
2025-05-26,市内一斉清掃,8:00~,全域,
2025-06-02,袖ヶ浦市消防団早出し競技会,9:30~,,
2025-06-30,神納環境保全会 小川草刈,8:00~,,
2025-07-20,袖ヶ浦高校ラジオ体操会 袖校Gにて,6:00~,袖ヶ浦高校,
2025-08-10,サマーフェスティバル in 昭和,8:00~,昭和小学校など,
2025-08-24,1分区納涼祭,17:30~,,
2025-09-15,長寿者へお祝い品の配布,8:00~,,
2025-09-23,三区共有神輿の祭礼,8:00~,率土神社など,,/sottojinja/gallery.html
2025-09-29,神納環境保全会 小川草刈,8:00~,,
2025-10-06,2分区 「ふれ合い交流会」,8:00~,,
2025-10-13,率土神社 例大祭,10:00~,率土神社,
2025-10-21,昭和小学校運動会,8:20~,昭和小学校,
2025-10-27,ソフトボール大会,8:00~,,
2025-11-10,ちばアクアラインマラソン（2年毎）,8:00~,全域・南総昭和線,
2025-11-17,市内一斉清掃,8:00~,全域,
2025-11-23,率土神社 新穀祭,10:00~,率土神社,
2025-11-30,グラウンドゴルフ大会,8:00~,旭化成グラウンド,
2025-12-02,イルミネーション点灯,17:15~,袖ケ浦駅南口,
2025-12-28,消防団第4分団歳末特別警戒,8:00~,全域,
2026-01-01,率土神社 歳旦祭,0:00~,率土神社,
2026-01-19,令和7年袖ケ浦市消防出初式,10:00~,市民会館（昭和交流センター）,
2026-02-02,令和6年度袖ケ浦市総合防災訓練,8:00~,,
2026-02-02,率土神社 節分祭,15:00~,率土神社,
2026-02-09,三区神輿引継ぎ,9:00~,率土神社・福王神社,
2026-02-09,率土神社 縁起式,10:00~,率土神社,
2026-03-07,昭和中学校卒業式,9:00~,昭和中学校,
2026-03-18,昭和小学校卒業式,9:00~,昭和小学校,
2026-03-30,神納東区定期総会,14:00~,神納公民館,
